"subNo"	"index"	"block"	"level"	"mean"	"periodicity"	"nEvents"	"answer"	"isCorrect"	"rt"	"s1"	"s2"	"s3"	"s4"	"s5"	"s6"	"s7"	"s8"	"s9"	"s10"	"s11"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"t1"	"t2"	"t3"	"t4"	"t5"	"t6"	"t7"	"t8"	"t9"	"t10"	"t11"	"t12"	"t13"	"t14"	"t15"	"t16"	"t17"	"t18"	"t19"	"seqDuration"	"startInterval"	"trialDuration"	"pID"	"Trial"	"rtLog"	"right"	"left"
"22"	3	51	1	-2	-2	0	8	-1	1	2.414	-1.7577	-4.9633	2.1565	-0.6832	-4.3585	-1.6562	1.3581	-0.2874	-1.8379	-0.208	-1.2803	-7.2526	-6.8784	-0.747	-15.848	5.7968	1.4381	2.6113	-9.1772	2.1708	0.2161	0.4823	0.4476	0.2615	0.4368	0.2117	0.2687	0.2985	0.4838	0.3357	0.2743	0.2069	0.4039	0.2324	0.2749	0.5298	0.4528	0.294	0.2055	6.3174	1.5083	3.9317	3	22	0.88128512267534	0	1
"23"	3	17	1	-1	-1	1	14	1	0	4.437	3.7289	-3.4553	-2.9297	-2.0601	1.1899	-0.6042	2.1658	1.9028	0.5737	-8.4062	0.4355	-1.5303	2.4308	-15.4382	6.3887	-0.4124	6.3362	-4.5037	-1.3698	-4.3128	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.4334	5.8881	3	23	1.48997847239677	1	0
"24"	3	41	1	2	2	0	15	1	1	5.007	1.6834	4.6003	0.3312	-1.5199	1.2149	-4.297	1.9016	4.5267	2.813	-1.3476	6.5618	0.0792	1.4636	13.7679	3.515	-6.5639	-6.9686	4.1159	4.4916	9.8256	0.225	0.389	0.2613	0.2244	0.4987	0.4414	0.3028	0.526	0.2431	0.2069	0.4231	0.3239	0.2923	0.4261	0.249	0.3356	0.2019	0.3138	0.4356	6.32	1.6152	6.6411	3	24	1.61083693334781	1	0
"25"	3	58	1	-2	-2	1	9	-1	1	2.915	2.3274	-2.5812	-7.3894	-6.6612	4.8684	4.0202	-5.2965	-3.169	1.4661	1.4749	-9.5574	-0.7598	4.8632	-7.523	-3.3572	-11.7093	3.2905	0.5977	-1.6804	-2.7951	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.5066	4.432	3	25	1.06986981980246	0	1
"26"	3	39	1	0	0	0	12	-1	0	4.184	1.7966	-1.8604	3.5629	-0.1167	10.3951	-6.0982	3.5845	-3.3449	1.6215	-8.1611	1.2235	0.12	-5.2176	1.4992	-0.0548	-5.2051	0.4669	9.9956	1.4732	-6.2251	0.2458	0.2182	0.4103	0.4406	0.3489	0.3197	0.3995	0.2149	0.5017	0.2808	0.5071	0.4039	0.2223	0.3201	0.2899	0.415	0.2645	0.3067	0.2211	6.331	1.6126	5.8019	3	26	1.43126772676262	0	1
"27"	3	22	1	-4	-4	0	13	-1	1	4.186	0.8779	-4.4211	-1.0759	-5.1658	1.7853	-2.2222	-3.0728	-6.5984	-1.3985	0.6567	-6.1923	-7.8436	-8.0014	-5.9089	0.9285	-17.1917	-7.7027	-9.428	-4.6251	5.8225	0.2936	0.2511	0.2992	0.2635	0.2241	0.4341	0.2587	0.3997	0.4464	0.4081	0.4376	0.2284	0.2586	0.3967	0.3028	0.3443	0.4362	0.4058	0.2475	6.3365	1.4706	5.6697	3	27	1.43174562402381	0	1
"28"	3	35	1	4	4	1	9	1	1	2.946	4.3238	3.6542	2.1717	2.8929	8.1833	8.5599	9.9005	4.705	0.3482	-0.5433	-4.0314	1.9422	6.3781	5.6674	6.0598	16.0671	-6.5887	3.035	1.9422	3.9501	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.6533	4.6131	3	28	1.08044831804044	1	0
"29"	3	66	1	-1	-1	0	15	1	0	4.873	-0.2579	4.7113	-4.6343	-4.8684	-2.3509	6.8889	-0.061	2.8433	-3.1681	-7.4706	-8.4325	-1.7538	6.8594	-1.5502	-3.1716	-5.2697	4.6752	6.7047	-5.3991	-6.1795	0.3368	0.279	0.2228	0.2634	0.3301	0.3888	0.3342	0.4866	0.3035	0.3713	0.2427	0.354	0.4799	0.3561	0.2798	0.4652	0.3268	0.2119	0.2892	6.3218	1.4215	6.3065	3	29	1.58370976386137	1	0
"30"	3	44	1	-2	-2	1	12	-1	1	3.67	1.6724	-5.6954	2.1367	-5.6413	-3.2701	4.7779	-2.5157	-6.9358	0.5616	-9.3852	1.3894	-8.1645	5.817	0.5671	5.8852	-5.6496	2.4494	-9.2235	-4.0712	-4.1361	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	0.333	6.327	1.7139	5.3874	3	30	1.30019166206648	0	1
"31"	3	27	1	2	2	0	20	1	1	6.479	-0.8763	-3.2648	7.9486	4.7732	6.9554	10.326	0.0532	-3.8935	-2.5327	1.0103	-6.1659	9.315	1.2085	1.3672	3.9916	-6.5627	3.458	9.1213	3.9483	0.0659	0.3069	0.2557	0.3298	0.2834	0.4988	0.2843	0.2375	0.3604	0.4681	0.514	0.26	0.3134	0.4863	0.2393	0.2113	0.4991	0.2421	0.3216	0.2145	6.3265	1.4309	7.9126	3	31	1.86856617746782	1	0
